journal,year,dataset,topic,link,link_type,notes
Annals of Epidemiology,2022,NHANES,Cardiometabolic,10.1016/j.annepidem.2022.03.005,doi,Rheumatoid arthritis & CVD; NHANES 1999–2018
Annals of Epidemiology,2022,NHANES,Cardiometabolic,10.1016/j.annepidem.2022.01.002,doi,Diabetes & excessive daytime sleepiness; NHANES 2015–2018
Annals of Epidemiology,2022,DHS,Maternal & Child Health,10.1016/j.annepidem.2022.08.042,doi,Traditional birth attendant-assisted vs unassisted births; Nigeria DHS 2008–2018
Annals of Work Exposures and Health,2024,Other,Environmental & Occupational,10.1093/annweh/wxad065,doi,Occupational noise exposure & CVD; nationally representative US data
BMC Infectious Diseases,2023,DHS,Infectious Disease,10.1186/s12879-023-08254-4,doi,HIV self-test awareness & testing uptake; Gambia DHS 2019–2020
BMC Pregnancy and Childbirth,2020,DHS,Maternal & Child Health,10.1186/s12884-020-2775-8,doi,Barriers to health care & antenatal care visits; Rwanda DHS
BMC Public Health,2021,NHANES,Infectious Disease,10.1186/s12889-021-11267-w,doi,Hepatitis C infection & monocyte-to-platelet ratio; NHANES 2009–2016
BMJ Open Diabetes Research & Care,2021,Other,Infectious Disease,10.1136/bmjdrc-2021-002145,doi,"HCV infection, ethnicity & incident type 2 diabetes; BC Hepatitis Testers Cohort"
CMAJ Open,2019,CCHS,Reproductive Health,10.9778/cmajo.20190087,doi,Household income & contraceptive methods; CCHS 2009–2010 & 2013–2014
Current Problems in Cancer,2025,NHANES,Cancer,10.1016/j.currproblcancer.2025.101184,doi,Maternal age at first birth & uterine cancer risk; NHANES 2003–2018
International Archives of Occupational and Environmental Health,2021,NHANES,Environmental & Occupational,10.1007/s00420-020-01592-9,doi,Methylmercury exposure & depression; NHANES 2011–2016
International Journal of Circumpolar Health,2019,CCHS,Health Services & Population,10.1080/22423982.2019.1607703,doi,Multimorbidity prevalence in Canada; territories vs provinces
International Journal of Gynecology & Obstetrics,2023,DHS,Reproductive Health,10.1002/ijgo.14432,doi,Informed choice & long-term reversible contraception; Uganda DHS 2016
International Journal of Hygiene and Environmental Health,2024,Other,Environmental & Occupational,10.1016/j.ijheh.2024.114429,doi,Neonatal deaths & cooking fuel pollution; Colombia
Journal of Asthma,2024,NHANES,Respiratory Health,10.1080/02770903.2024.2393677,doi,Physical comorbidity & overnight hospitalizations in adults with asthma; NHANES 2005–2018
Journal of Consumer Health on the Internet,2021,DHS,Infectious Disease,10.1080/15398285.2021.1943634,doi,Internet access & HIV/AIDS knowledge; Nigeria DHS 2018
Journal of Human Hypertension,2021,NHANES,Cardiometabolic,10.1038/s41371-021-00614-4,doi,Sodium intake & high blood pressure under caloric restriction; US population 2007–2018
Journal of Mental Health,2023,Other,Mental Health,10.1080/09638237.2023.2245904,doi,Chronic physical conditions & suicidal ideation; Canadian school-attending young adults
Journal of Mental Health,2023,CCHS,Mental Health,10.1080/09638237.2020.1818192,doi,Mood disorder diagnosis & unmet health-care need; CCHS 2014
Journal of the Canadian Academy of Child and Adolescent Psychiatry,2025,CCHS,Mental Health,https://pubmed.ncbi.nlm.nih.gov/40959830/,pubmed,Community belonging & flourishing in youth; CCHS-MH 2012
Vaccines,2022,NHANES,Cancer,10.3390/vaccines10122113,doi,HPV vaccination & HPV-related cancers; NHANES 2011–2018
Vaccine,2020,NHANES,Infectious Disease,10.1016/j.vaccine.2020.10.033,doi,HPV vaccine status & STI outcomes; NHANES 2013–2016
